Name,Location,Latitude,Longitude
CWNB,S. E. Shoal Meteorological Aeronautical Presentation System,41.833,-82.466
CWNC,"Cobourg, Ont.",43.95,-78.166
CWND,Pelly Island Automatic Weather Reporting System,69.633,-135.433
CWNE,"North Point, Prince Edward Island",47.083,-64.0
CWNH,"Riviere Du Loup, Que.",47.8,-69.55
CWNK,Carman U Of M,49.5,-98.033
CWNL,Great Duck Island,45.633,-82.966
CWNM,Nelson Automatic Weather Reporting System,49.5,-117.3
CWNP,Nakusp Automatic Weather Reporting System,50.266,-117.816
CWNQ,Nicolet Automatic Weather Reporting System,46.216,-72.65
CWNZ,"Nagagami, Ont.",49.75,-84.166
CWOB,Brevoort Island,63.333,-64.15
CWOC,New Carlisle1,48.016,-65.333
CWOD,Normandin,48.833,-72.55
CWOE,Onefour Automatic Weather Reporting System,49.116,-110.466
CWOY,Wynyard Marine Aviation Reporting Station,51.766,-104.216
CWPB,Beausoleil Island Automated Reporting Station,44.85,-79.866
CWPC,Port Colborne Automated Reporting Station,42.866,-79.25
CWPD,Parc Des Laurentid,47.566,-71.233
CWPE,"Point Lepreau, N. B.",45.066,-66.466
CWPF,"Esquimalt Harbour, B. C.",48.433,-123.433
CWPK,"Parent, Que.",47.916,-74.616
CWPO,"Pilot Mound, Man.",49.2,-98.9
CWPQ,Montreal-Est,45.633,-70.55
CWPR,Princeton Automatic Weather Reporting System,50.6,-120.516
CWPS,Long Point Meteorological Aeronautical Presentation System,42.566,-80.05
CWPX,"Cape Peel West, N. W. T.",69.033,-107.816
CWPZ,"Burns Lake CS , B. C.",54.383,-125.95
CWQH,Lennoxville,45.366,-71.816
CWQK,Race Rocks Automatic Weather Reporting System,48.3,-123.533
CWQO,"Ile Bicquette, Que.",48.415,-68.893
CWQP,"Point Petre , Ont.",43.833,-77.15
CWQR,"Ile Aux Perroquets, Que.",50.223,-64.208
CWQS,"Kindakun Rocks, B. C.",53.316,-132.75
CWQV,Puinte Claveau,48.266,-70.116
CWRA,"Cape Race, Nfld",46.65,-53.066
CWRF,Pelly Bay 1,69.433,-89.733
CWRH,"Resolution Island, N. W. T.",61.583,-64.65
CWRJ,"Rosetown East, Sask",51.566,-107.916
CWRK,Bancroft Automatic Weather Reporting System,45.066,-77.866
CWRM,Rocky House Marine Aviation Reporting Station,52.433,-114.933
CWRN,Hart Island Meteorological Aeronautical Presentation System,45.35,-60.983
CWRO,Rose Spit Meteorological Aeronautical Presentation System,54.166,-131.666
CWRT,Crowsnest,49.633,-114.483
CWRU,Solander Island Meteorological Aeronautical Presentation System,50.116,-127.933
CWRX,"Rowley Island, N. W. T.",69.066,-79.066
CWRY,Milk River,49.133,-112.05
CWRZ,"Cap D'Espoir , Que.",48.416,-64.316
CWSA,"Sable Island, N. S.",43.933,-60.016
CWSD,Summerside Automatic Weather Reporting System,46.433,-63.85
CWSF,Cap Madeleine Meteorological Aeronautical Presentation System,49.25,-65.333
CWSG,"Cap Chat CS, Que.",49.116,-66.65
CWSK,"Squamish Airport, B. C",49.783,-123.166
CWSL,Salmon Arm Automatic Weather Reporting System,50.7,-119.283
CWSP,Sheringham Automatic Weather Reporting System,48.383,-123.916
CWSR,"Spiritwood West, Sask",53.366,-107.55
CWSS,"St. Stephen, N. B.",45.216,-67.25
CWST,La Pocatiere,47.35,-70.033
CWSW,Sparwood / Elk Valley,49.75,-114.883
CWTA,Mc Tavish Automated Reporting Station,45.5,-73.583
CWTG,"Pointe-Des-Monts , Que.",49.316,-67.383
CWTN,Cap Tourmente,47.066,-70.8
CWTU,"Tukialik Bay, Nfld.",54.716,-58.35
CWTY,Trois Rivieres,46.35,-72.516
CWUP,"Cape Hooper, N. W. T.",68.466,-66.8
CWUS,Summerland Automatic Weather Reporting System,49.566,-119.65
CWUW,"Dewar Lakes, N. W. T.",68.65,-71.166
CWUX,"La Baie , Que.",48.3,-70.933
CWVD,Broughton Island,67.533,-63.783
CWVF,"Sand Heads CS, B. C.",49.1,-123.3
CWVH,"Storm Hills , N. W. T.",68.9,-133.933
CWVI,Vegreville Automatic Weather Reporting System,53.616,-112.033
CWVN,"Val Marie Southeast, Sask",49.066,-107.583
CWVP,Cypress Hills Park,49.65,-109.516
CWVQ,Ste Anne De Bell 1,45.433,-73.933
CWVT,"Buffalo Narrows, Sask.",55.833,-108.433
CWVU,"Brier Island, N. S.",44.285,-66.346
CWVV,Vic. Hartland Automatic Weather Reporting System,48.533,-123.466
CWVY,Villeroy Radar Site,46.433,-71.933
CWVZ,"Ile Charron, Que.",45.583,-73.5
CWWA,W Vancouver Automatic Weather Reporting System,49.35,-123.183
CWWB,Burlington Piers,43.3,-79.8
CWWE,"Western Head, N. S.",43.983,-64.666
CWWF,Weyburn Automatic Weather Reporting System,49.7,-103.8
CWWK,White Rock Automatic Weather Reporting System,49.016,-122.783
CWWL,Bonilla Island Meteorological Aeronautical Presentation System,53.5,-130.633
CWWS,George Island Meteorological Aeronautical Presentation System,52.8,-97.616
CWWU,Ingenika Point,56.8,-124.9
CWWX,Cove Island Meteorological Aeronautical Presentation System,45.333,-81.733
CWWZ,"Port Weller, Ont.",43.25,-79.216
CWXA,Bow Valley,51.083,-115.066
CWXC,"Onatchiway, Que.",48.883,-71.033
CWXI,Ferolle Point Meteorological Aeronautical Presentation System,51.016,-57.1
CWXL,Bow Island,49.633,-111.45
CWXR,"Croker River, N. W. T.",69.266,-119.216
CWYJ,Victoria University,48.45,-123.3
CWYK,"Cape Kiglapait, Nfld.",57.133,-61.483
CWYL,Yoho Park Automatic Weather Reporting System,51.45,-116.333
CWYM,Cape Mercy,64.95,-63.583
CWYY,Osoyoos Automatic Weather Reporting System,49.033,-119.433
CWZA,Agassiz Automated Reporting Station,49.25,-121.766
CWZG,Banff Marine Aviation Reporting Station,51.2,-115.55
CWZL,Cumshewa Island Meteorological Aeronautical Presentation System,53.033,-131.6
CWZN,Sagona Island Meteorological Aeronautical Presentation System,47.366,-55.8
CWZO,"Kelp Reefs, B. C.",48.55,-123.233
CWZQ,"Grand Etang, N. S.",46.55,-61.05
CWZS,"Amqui , Que.",48.466,-67.433
CWZV,Virginia Falls,61.633,-125.8
CWZW,Teslin Marine Aviation Reporting Station,60.166,-132.766
CWZZ,Saglek Bay,58.333,-62.583
CXBK,"Bratts Lake, Sask.",50.2,-104.7
CXBO,"Beauport CS, Que.",46.833,-71.2
CXCH,"Cheticamp, N. S.",46.65,-60.95
CXCK,"Carmacks CS, Y. T.",62.116,-136.183
CXDE,"Deline , N. W. T.",65.216,-123.433
CXDI,"Delhi CS, Ont.",42.866,-80.55
CXDW,"Deerwood RCS , Man.",49.4,-98.316
CXEC,"Edmonton Municipal CR10 , Alta.",53.566,-113.516
CXEG,"Edmonton International CS , Alta.",53.3,-113.6
CXGH,"Gimli Harbour CS, Man.",50.631,-96.982
CXHF,"High Falls , Que.",45.833,-75.65
CXKT,"Kentville , N. S.",45.066,-64.483
CXLC,"Lower Carp Lake , N. W. T.",63.6,-113.866
CXLL,"Lindberg Landing , N. W. T.",61.116,-122.85
CXMD,"Morden CDA CS , Man.",49.183,-98.083
CXMI,"McNabs Island , N. S.",44.6,-63.533
CXMM,"Fort McMurray CS, Alta.",56.65,-111.216
CXMY,"Malay Falls , N. S.",44.983,-62.483
CXNM,"North Mountain , N. S.",46.816,-60.666
CXOX,"La Ronge , Sask.",55.15,-105.266
CXPV,"Prairie River, Alta",58.622,-111.672
CXQA,"Qavvik Lake, N. W. T.",68.257,-122.103
CXRH,"Rocky Harbour CS, Nfld.",49.566,-57.883
CXSH,"Shawinigan CS , Que.",46.583,-72.583
CXSR,"Spirit River Auto Station, Alta",55.695,-119.234
CXSW,"St. John's West CDA CS, Nfld.",47.515,-52.784
CXTN,"Tuktut Nogait , N. W. T.",69.183,-122.35
CXTP,"Terra Nova National Park CS, Nfld.",48.556,-53.974
CXTV,"Trail Valley , N. W. T.",68.75,-133.5
CXWN,"Winnipeg The Forks, Man.",49.883,-97.133
CXZU,"Whitecourt , Alta.",54.15,-115.783
CYAD,La Grande Iii Supplementary Aviation Weather Reporting Station,53.566,-76.2
CYAH,"La Grande Iv, Que.",53.75,-73.666
CYAM,"Sault Ste Marie, Ont.",46.483,-84.5
CYAS,Kangirsuk Supplementary Aviation Weather Reporting Station,60.016,-70.0
CYAW,"Shearwater, N. S.",44.633,-63.5
CYAY,Saint Anthony Airport,51.4,-56.083
CYAZ,Tofino Airport,49.083,-125.766
CYBB,Pelly Bay Airport,68.533,-89.816
CYBC,"Baie Comeau, Que.",49.133,-68.2
CYBD,Bella Coola Airport,52.383,-126.583
CYBG,"Bagotville, Que.",48.333,-71.0
CYBK,"Baker Lake, N. W. T.",64.3,-96.083
CYBL,Campbell River Airport,49.95,-125.266
CYBN,"Borden, Ont.",44.25,-79.916
CYBR,"Brandon, Man.",49.916,-99.95
CYBU,"Nipawin, Sask.",53.333,-104.0
CYBV,Berens River Airport,52.35,-97.033
CYBW,Calgary / Springbank,51.1,-114.366
CYBX,"Blanc Sablon, Que.",51.45,-57.183
CYCB,"Cambridge Bay, N. W. T.",69.1,-105.116
CYCD,Nanaimo Airport,49.05,-123.866
CYCG,Castlegar Airport,49.3,-117.633
CYCO,"Coppermine, N. W. T.",67.816,-115.133
CYCP,"Blue River, B. C.",52.133,-119.3
CYCQ,Chetwynd Airport,55.7,-121.633
CYCS,Chesterfield Inlet,63.333,-90.716
CYCX,Gagetown Can-Mil,45.833,-66.433
CYCY,"Clyde, N. W. T.",70.483,-68.516
CYDA,"Dawson, Y. T.",64.05,-139.133
CYDB,Burwash Airport,61.366,-139.033
CYDC,Princeton Airport,49.466,-120.516
CYDF,"Deer Lake, Nfld.",49.216,-57.4
CYDN,"Dauphin, Man.",51.1,-100.05
CYDP,"Nain, Nfld",56.55,-61.683
CYDQ,Dawson Creek Airport,55.75,-120.183
CYED,Edmonton Namao Alta.,53.666,-113.466
CYEG,"Edmonton International, Alta.",53.3,-113.583
CYEK,Arviat Airport,61.1,-94.066
CYEL,Elliot Lake Supplementary Aviation Weather Reporting Station,46.35,-82.566
CYEN,"Estevan, Sask.",49.216,-102.966
CYET,"Edson, Alta.",53.583,-116.466
CYEV,"Inuvik, N. W. T.",68.3,-133.483
CYFB,"Iqaluit, N. W. T.",63.75,-68.55
CYFC,"Fredericton, N. B.",45.866,-66.533
CYFO,Flin Flon Airport,54.683,-101.683
CYFR,Fort Resolution,61.183,-113.683
CYFS,"Fort Simpson, N. W. T.",61.75,-121.233
CYFT,Makkovik Airport,55.083,-59.183
CYGE,Golden Airport,51.3,-116.983
CYGH,Fort Good Hope Airport,66.266,-128.616
CYGK,"Kingston, Ont.",44.216,-76.6
CYGL,"La Grande Riviere, Que",53.633,-77.7
CYGP,"Gaspe, Que.",48.766,-64.483
CYGQ,"Geraldton, Ont.",49.783,-86.933
CYGR,Iles De La Madeleineque.,47.416,-61.783
CYGT,Igloolik Airport,69.366,-81.816
CYGV,Havre St Pierre,50.283,-63.616
CYGW,"Kuujjuarapik, Que.",55.283,-77.766
CYGX,"Gillam, Man.",56.35,-94.7
CYHA,Quaqtaq Airport,61.05,-69.633
CYHD,Dryden Airport,49.833,-92.75
CYHE,"Hope, B. C.",49.366,-121.483
CYHH,Nemiscau Airport Supplementary Aviation Weather Reporting Station,51.7,-76.116
CYHI,Holman Island Airport,70.766,-117.8
CYHK,Gjoa Haven Airport,68.633,-95.85
CYHM,Hamilton Airport,43.166,-79.933
CYHU,Saint Hubert Airport,45.516,-73.416
CYHY,"Hay River, N. W. T.",60.833,-115.783
CYHZ,Halifax International Airport,44.883,-63.5
CYIK,Ivujivik Airport Supplementary Aviation Weather Reporting Station,62.416,-77.95
CYIO,"Pond Inlet, N. W. T.",72.7,-77.966
CYIV,"Island Lake, Man.",53.85,-94.65
CYJF,Fort Liard Airport,60.233,-123.483
CYJT,"Stephenville, Nfld.",48.533,-58.55
CYKA,"Kamloops, B. C.",50.7,-120.45
CYKD,Aklavik Airport,68.216,-135.0
CYKF,Waterloo Well,43.466,-80.383
CYKG,Kangiqsujuaq Supplementary Aviation Weather Reporting Station,61.583,-71.933
CYKJ,Key Lake,57.25,-105.616
CYKL,"Schefferville, Que.",54.8,-66.8
CYKO,Akulivik Airport,60.816,-78.15
CYKQ,Waskaganish Airport,51.483,-78.75
CYKY,"Kindersley, Sask.",51.516,-109.166
CYKZ,Toronto Buttonville,43.866,-79.366
CYLA,"Aupaluk, Que.",59.296,-69.599
CYLC,Kimmirut A Nwt,62.85,-69.883
CYLD,"Chapleau, Ont.",47.816,-83.35
CYLJ,"Meadow Lake, Sask.",54.133,-108.516
CYLK,"Lutsel KE, N. W. T.",62.416,-110.666
CYLL,"Lloydminister, Alta.",53.316,-110.066
CYLT,Alert Airport,82.516,-62.283
CYLU,Kangiksualujjuaq A,58.716,-65.983
CYLW,Kelowna Airport,49.966,-119.383
CYMA,Mayo Airport,63.616,-135.866
CYMH,Mary's Harbour,52.3,-55.85
CYMJ,"Moose Jaw, Sask.",50.333,-105.55
CYMM,"Fort Mcmurray, Alta.",56.65,-111.216
CYMO,"Moosonee, Ont.",51.266,-80.65
CYMT,"Chibougamau-Chapais, Que",49.766,-74.533
CYMU,Umiujaq,56.533,-76.516
CYMX,Montreal / Mirabel,45.683,-74.033
CYNA,"Natashquan, Que.",50.183,-61.816
CYNC,"Aeroport de Wemindji, Que.",53.010,-78.830
CYND,Gatineau Airport,45.516,-75.566
CYNE,"Norway House, Man.",53.966,-97.833
CYNM,"Matagami, Que.",49.766,-77.816
CYOA,"Ekati, N. W. T.",64.7,-110.616
CYOC,Old Crow Airport,67.566,-139.816
CYOD,"Cold Lake, Alta.",54.416,-110.283
CYOJ,"High Level, Alta",58.616,-117.166
CYOW,Ottawa Int'L. Ont.,45.316,-75.666
CYOY,Valcartier Airport,46.9,-71.5
CYPA,"Prince Albert, Sask.",53.216,-105.683
CYPC,Paulatuk Airport,69.35,-124.033
CYPD,Port Hawkesbury,45.666,-61.383
CYPE,"Peace River, Alta.",56.233,-117.433
CYPG,Portage Southport A,49.9,-98.266
CYPH,Inukjuak Airport Supplementary Aviation Weather Reporting Station,58.466,-78.083
CYPL,Pickle Lake Man,51.45,-90.2
CYPQ,Peterborough Airport,44.233,-78.366
CYPR,"Prince Rupert, B. C.",54.3,-130.433
CYPW,Powell River Airport,49.833,-124.5
CYPX,Povungnituq,60.05,-77.283
CYPY,"Fort Chipewyan, Alta.",58.766,-111.116
CYQA,"Muskoka, Ont.",44.966,-79.3
CYQB,"Quebec, Que",46.8,-71.383
CYQD,"The Pas, Man.",53.966,-101.1
CYQF,"Red Deer, Alta.",52.183,-113.9
CYQG,"Windsor, Ont.",42.266,-82.966
CYQH,"Watson Lake, Y. T.",60.116,-128.816
CYQI,"Yarmouth, N. S.",43.833,-66.083
CYQK,"Kenora, Ont.",49.783,-94.366
CYQL,"Lethbridge, Alta.",49.633,-112.8
CYQM,"Moncton, N. B.",46.116,-64.683
CYQQ,"Comox, B. C.",49.716,-124.9
CYQR,"Regina, Sask.",50.433,-104.666
CYQT,"Thunder Bay, Ont.",48.366,-89.316
CYQU,"Grande Prairie, Alta.",55.183,-118.883
CYQV,"Yorkton, Sask.",51.266,-102.466
CYQW,"North Battleford, Sask.",52.766,-108.25
CYQX,"Gander Int. Airport, Nfld.",48.95,-54.566
CYQY,"Sydney, N. S.",46.166,-60.05
CYQZ,Quesnel Airport,53.033,-122.516
CYRB,"Resolute, N. W. T.",74.716,-94.983
CYRJ,"Roberval, Que.",48.516,-72.266
CYRL,"Red Lake, Ont.",51.066,-93.8
CYRT,"Rankin Inlet, N. W. T.",62.816,-92.116
CYRV,"Revelstoke, B. C.",50.966,-118.183
CYSB,"Sudbury, Ont.",46.616,-80.8
CYSC,"Sherbrooke, Que.",45.4,-71.883
CYSD,Suffield Airport,50.266,-111.183
CYSF,Stony Rapids Airport,59.25,-105.833
CYSJ,"Saint John, N. B.",45.333,-65.883
CYSK,Sanikiluaq Airport,56.533,-79.25
CYSL,Saint Leonard Airport,47.15,-67.833
CYSM,"Fort Smith, N. W. T.",60.016,-111.95
CYSN,Saint Catharines Airport,43.2,-79.166
CYSR,Nanisivik Airport,72.983,-84.633
CYSY,Sachs Harbour Airport,72.0,-125.283
CYTE,"Cape Dorset, N. W. T.",64.216,-76.533
CYTH,"Thompson Weather Office, Man",55.8,-97.85
CYTJ,Terrace Bay Supplementary Aviation Weather Reporting Station,48.816,-87.1
CYTL,Big Trout Lake,53.833,-89.866
CYTQ,Tasiujaq A,58.666,-69.95
CYTR,"Trenton, Ont.",44.116,-77.533
CYTS,"Timmins, Ont.",48.566,-81.366
CYTZ,Toronto Island Airport Automated Reporting Station,43.633,-79.4
CYUA,"Shingle Point, Y. T.",68.95,-137.216
CYUB,Tuktoyaktuk,69.45,-133.016
CYUL,"Montreal / Pierre Elliot Trudeau International Airport, Que",45.466,-73.75
CYUS,"Shepherd Bay, N. W. T.",68.816,-93.433
CYUT,Repulse Bay Airport,66.533,-86.25
CYUX,"Hall Beach, N. W. T.",68.783,-81.25
CYUY,Rouyn Airport,48.2,-78.833
CYVC,"La Ronge, Sask",55.15,-105.266
CYVM,Broughton Island Airport,67.55,-64.033
CYVO,"Val D'Or, Que.",48.066,-77.783
CYVP,"Kuujjuaq, Que.",58.1,-68.416
CYVQ,"Norman Wells, N. W. T.",65.283,-126.8
CYVR,"Vancouver International Air-Port, B. C.",49.183,-123.166
CYVT,Buffalo Narrows Man,55.833,-108.45
CYVV,"Wiarton, Ont.",44.75,-81.1
CYWA,"Petawawa, Ont.",45.95,-77.316
CYWG,Winnipeg Int. Airportman.,49.9,-97.233
CYWH,Victoria Harbour,48.416,-123.333
CYWJ,Fort Franklin Airport,65.2,-123.433
CYWK,"Wabush Lake, Nfld.",52.933,-66.866
CYWL,"Williams Lake, B. C.",52.183,-122.05
CYWY,Wrigley Airport,63.216,-123.433
CYXC,"Cranbrook, B. C.",49.616,-115.783
CYXD,Edmonton Municipal Alta.,53.566,-113.516
CYXE,"Saskatoon, Sask.",52.166,-106.683
CYXH,"Medicine Hat, Alta.",50.016,-110.716
CYXJ,"Fort St John, B. C.",56.233,-120.733
CYXL,"Sioux Lookout, Ont.",50.116,-91.9
CYXN,Whale Cove Airport,62.233,-92.6
CYXP,Pangnirtung Airport,66.15,-65.716
CYXQ,Beaver Creek Airport,62.416,-140.866
CYXR,"Earlton, Ont.",47.7,-79.85
CYXS,"Prince George, B. C.",53.883,-122.683
CYXT,"Terrace, B. C.",54.466,-128.583
CYXU,"London, Ont.",43.033,-81.15
CYXX,"Abbotsford, B. C.",49.033,-122.366
CYXY,"Whitehorse, Y. T.",60.716,-135.066
CYXZ,"Wawa, Ont.",47.966,-84.783
CYYB,"North Bay, Ont.",46.35,-79.433
CYYC,"Calgary International, Alta.",51.116,-114.016
CYYD,"Smithers, B. C.",54.816,-127.183
CYYE,"Fort Nelson, B. C.",58.833,-122.583
CYYF,"Penticton, B. C.",49.466,-119.6
CYYG,"Charlottetown, P. E. I.",46.283,-63.133
CYYH,Spence Bay Airport,69.55,-93.583
CYYJ,"Victoria Int. Airport, B. C.",48.65,-123.433
CYYL,"Lynn Lake, Man.",56.866,-101.083
CYYN,"Swift Current, Sask.",50.283,-107.683
CYYQ,"Churchill, Man.",58.733,-94.066
CYYR,"Goose, Nfld.",53.316,-60.416
CYYT,"St. John's, Nfld",47.616,-52.733
CYYU,"Kapuskasing, Ont.",49.416,-82.466
CYYW,"Armstrong, Ont.",50.3,-89.033
CYYY,"Mont Joli, Que.",48.6,-68.216
CYYZ,Toronto Pearson Int'L. Ont.,43.666,-79.633
CYZE,"Gore Bay, Ont.",45.883,-82.566
CYZF,"Yellowknife, N. W. T.",62.466,-114.45
CYZG,Salliut Airport Supplementary Aviation Weather Reporting Station,62.183,-75.666
CYZH,"Slave Lake, Alta",55.3,-114.783
